date,Road_Configuration,Road_Conditions,vehicleconcat1,# No Of accidents
2013-01-01,"['TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED']","['WET', 'WET', 'WET', 'WET', 'DRY', 'DRY']","['PASSENGER CAR', 'LIGHT TRUCK (MINI-VAN- PANEL)_SPORT UTILITY', 'LIGHT TRUCK (MINI-VAN- PANEL)', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_PICKUP']",6
2013-01-02,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'No Information', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED']","['WET', 'WATER (STANDING: MOVING)', 'WET', 'WET', 'DRY', 'WET', 'DRY', 'DRY', 'WET', 'No Information']","['PICKUP', 'PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_VAN', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'TRUCK/TRAILER', 'No Information']",10
2013-01-03,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'ONE-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'ONE-WAY,NOT DIVIDED']","['DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'No Information', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY']","['PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR', 'PICKUP_PASSENGER CAR', 'PASSENGER CAR', 'VAN_PASSENGER CAR', 'SPORT UTILITY_LIGHT TRUCK (MINI-VAN- PANEL)', 'PASSENGER CAR_SPORT UTILITY', 'No Information', 'PASSENGER CAR_PASSENGER CAR', 'SPORT UTILITY_SPORT UTILITY', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR', 'VAN_PASSENGER CAR']",14
2013-01-04,"['TWO-WAY,NOT DIVIDED', 'No Information', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED']","['DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY']","['PICKUP_PASSENGER CAR', 'SPORT UTILITY_PICKUP', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_PASSENGER CAR', 'PICKUP', 'VAN_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PICKUP', 'SPORT UTILITY_PASSENGER CAR']",9
2013-01-05,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN']","['DRY', 'UNKNOWN', 'DRY', 'No Information', 'DRY', 'DRY', 'DRY', 'DRY']","['PASSENGER CAR_VAN', 'UNKNOWN_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'No Information', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PICKUP', 'PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR']",8
2013-01-06,"['ONE-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,NOT DIVIDED']","['UNKNOWN', 'DRY', 'WET', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY']","['PASSENGER CAR_PASSENGER CAR', 'LIGHT TRUCK (MINI-VAN- PANEL)_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PICKUP_LIGHT TRUCK (MINI-VAN- PANEL)', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'SPORT UTILITY_PASSENGER CAR', 'PASSENGER CAR_VAN', 'PASSENGER CAR_PASSENGER CAR']",9
2013-01-07,"['TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'ONE-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,NOT DIVIDED']","['DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY']","['PASSENGER CAR_PASSENGER CAR', 'VAN_PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR', 'VAN_SPORT UTILITY', 'PASSENGER CAR_PASSENGER CAR', 'No Information', 'SPORT UTILITY_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR']",12
2013-01-08,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'UNKNOWN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'No Information', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED']","['DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY']","['PASSENGER CAR_PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'PICKUP_SPORT UTILITY', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR']",7
2013-01-09,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'ONE-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED']","['DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'No Information']","['PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'No Information', 'PICKUP', 'VAN_PASSENGER CAR', 'SINGLE UNIT TRUCK (2-AXLE- 6-TIRE)_PASSENGER CAR', 'PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_VAN', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'No Information']",13
2013-01-10,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'ONE-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN']","['DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'No Information']","['PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR', 'PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR', 'PICKUP_PASSENGER CAR', 'PICKUP_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'SPORT UTILITY_PICKUP', 'PICKUP_LIGHT TRUCK (MINI-VAN- PANEL)', 'SPORT UTILITY_SPORT UTILITY', 'No Information', 'No Information']",15
