date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,Road_Configuration,Road_Conditions,vehicleconcat1,# No Of accidents
2013-01-01,0.5256756756756756,0.3401015228426396,0.03255813953488372,0.0,0.0,0.3502793296089385,0.6,0.2572806529400853,0.6,0.19424646883503954,"['TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED']","['WET', 'WET', 'WET', 'WET', 'DRY', 'DRY']","['PASSENGER CAR', 'LIGHT TRUCK (MINI-VAN- PANEL)_SPORT UTILITY', 'LIGHT TRUCK (MINI-VAN- PANEL)', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_PICKUP']",6
2013-02-01,0.4837837837837837,0.32614213197969544,0.0372093023255814,0.0,0.0,0.18770949720670388,0.08571428571428573,0.11203858282322388,0.08571428571428573,0.09278216923675003,"['No Information', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'ONE-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED']","['DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY']","['PICKUP_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_VAN', 'PASSENGER CAR_SPORT UTILITY', 'SPORT UTILITY_SPORT UTILITY', 'SPORT UTILITY_PASSENGER CAR', 'PASSENGER CAR_PICKUP', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR', 'SPORT UTILITY_VAN']",13
2013-03-01,0.3351351351351351,0.2766497461928934,0.0,0.0,0.0,0.0877094972067039,0.08571428571428573,0.016508996475607485,0.22857142857142854,0.05209278216923677,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'No Information', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'ONE-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN']","['DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY']","['VAN_SPORT UTILITY', 'PASSENGER CAR_VAN', 'SPORT UTILITY', 'SPORT UTILITY_PASSENGER CAR', 'SPORT UTILITY_SPORT UTILITY', 'PICKUP_SPORT UTILITY', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_SPORT UTILITY', 'SPORT UTILITY_SPORT UTILITY', 'PICKUP_VAN', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'UNKNOWN_PASSENGER CAR']",15
2013-04-01,0.2972972972972973,0.3540609137055838,0.0,0.0,0.0,0.2374301675977653,0.8285714285714286,0.14932294565015766,0.8571428571428571,0.19424646883503954,"['TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'ONE-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED']","['WET', 'DRY', 'WET', 'No Information', 'DRY', 'DRY', 'DRY', 'DRY']","['PASSENGER CAR_PICKUP', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR', 'No Information', 'SPORT UTILITY_LIGHT TRUCK (MINI-VAN- PANEL)', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY']",8
2013-05-01,0.28243243243243243,0.32614213197969544,0.0,0.0,0.0,0.0877094972067039,0.6285714285714286,0.03728436282693379,0.6285714285714286,0.014513411947648063,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN']","['DRY', 'WET', 'WET', 'WET', 'WET', 'WET', 'WET', 'WET', 'WET', 'WET']","['PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PICKUP_SPORT UTILITY', 'SPORT UTILITY', 'PICKUP_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PICKUP_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR']",10
2013-06-01,0.4189189189189189,0.3401015228426396,0.0,0.0,0.0,0.18770949720670388,0.6,0.05397885364496381,0.5428571428571428,0.014513411947648063,"['TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED']","['DRY', 'DRY', 'DRY', 'DRY']","['SPORT UTILITY', 'SPORT UTILITY_PICKUP', 'PASSENGER CAR_PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR']",4
2013-07-01,0.3351351351351351,0.3654822335025381,0.0,0.0,0.0,0.11284916201117318,0.11428571428571427,0.1660174364681877,0.11428571428571427,0.14202410263055593,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,NOT DIVIDED', 'ONE-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'ONE-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN']","['DRY', 'WET', 'DRY', 'WATER (STANDING: MOVING)', 'DRY', 'DRY', 'DRY', 'WET', 'WET', 'DRY', 'WET', 'WATER (STANDING: MOVING)', 'DRY']","['SPORT UTILITY', 'PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR', 'PASSENGER CAR', 'PASSENGER CAR', 'SPORT UTILITY_UNKNOWN', 'PASSENGER CAR', 'No Information', 'PASSENGER CAR_SPORT UTILITY', 'VAN', 'PASSENGER CAR_PICKUP', 'PASSENGER CAR', 'PASSENGER CAR_PICKUP']",13
2013-08-01,0.3229729729729729,0.41497461928934015,0.0,0.0,0.0,0.037430167597765365,0.3428571428571429,0.05397885364496381,0.37142857142857133,0.04055980303226643,"['TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,NOT DIVIDED', 'No Information', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'ONE-WAY,NOT DIVIDED']","['DRY', 'DRY', 'DRY', 'DRY', 'WET', 'DRY', 'DRY', 'DRY', 'DRY']","['PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_POLICE', 'PASSENGER CAR_PASSENGER CAR', 'PICKUP_SPORT UTILITY', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'VAN_PICKUP', 'PASSENGER CAR']",9
2013-09-01,0.4189189189189189,0.5685279187817259,0.0,0.0,0.0,0.0877094972067039,0.6285714285714286,0.11203858282322388,0.6285714285714286,0.0666061941168848,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'No Information', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'No Information', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN']","['WET', 'DRY', 'DRY', 'DRY', 'WET', 'DRY', 'DRY', 'DRY', 'WET']","['VAN_PASSENGER CAR', 'PASSENGER CAR', 'PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR']",9
2013-10-01,0.5662162162162162,0.5291878172588833,0.0,0.0,0.0,0.2374301675977653,0.17142857142857146,0.1285475792988314,0.2,0.11597771154593753,"['TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'No Information', 'TWO-WAY,DIVIDED,UNPROTECTED MEDIAN', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,NOT DIVIDED', 'TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER']","['DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY', 'DRY']","['PASSENGER CAR_SPORT UTILITY', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR', 'SPORT UTILITY_PASSENGER CAR', 'PASSENGER CAR_PASSENGER CAR', 'PASSENGER CAR']",9
